aqi,city,cityid,co,id,iscity,lat,lon,monitortime,no2,o3,o3_8h,pm10,pm25,pollutantlevel,positionname,primarypollutant,scrapytime,so2,stationcode,stationid
28,巴中,,0.75,,1,,,2017-08-17 11:00:00,14,67,51,27,28,优,巴中,,,2,,
_,巴中,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,南龛公园,_,,_,,
27,巴中,,0.9,,2,,,2017-08-17 11:00:00,20,61,50,27,18,优,市环保局,_,,3,,
37,巴中,,0.9,,2,,,2017-08-17 11:00:00,20,61,45,37,19,优,巴中中学,_,,2,,
_,巴中,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,市六中,_,,_,,
27,巴中,,0.6,,2,,,2017-08-17 11:00:00,4,77,69,27,18,优,苏山坪,_,,2,,
22,巴中,,0.6,,2,,,2017-08-17 11:00:00,14,70,42,18,12,优,职业中学,_,,4,,
78,巴彦淖尔,,0.6,,1,,,2017-08-17 11:00:00,14,98,68,104,78,良,巴彦淖尔,颗粒物(PM10),,13,,
103,巴彦淖尔,,0.7,,2,,,2017-08-17 11:00:00,14,86,64,156,28,轻度污染,秋林养殖基地,颗粒物(PM10),,11,,
47,巴彦淖尔,,0.6,,2,,,2017-08-17 11:00:00,10,96,63,47,10,优,附中,_,,13,,
80,巴彦淖尔,,0.5,,2,,,2017-08-17 11:00:00,18,114,78,109,55,良,市环保大楼,颗粒物(PM10),,17,,
64,包头,,0.87,,1,,,2017-08-17 11:00:00,36,73,42,76,64,良,包头,颗粒物(PM10),,34,,
59,包头,,0.9,,2,,,2017-08-17 11:00:00,48,62,29,68,30,良,市环境监测站,颗粒物(PM10),,45,,
58,包头,,0.9,,2,,,2017-08-17 11:00:00,43,71,44,65,36,良,包百大楼,颗粒物(PM10),,36,,
72,包头,,1.2,,2,,,2017-08-17 11:00:00,38,73,48,93,17,良,东河城环局,颗粒物(PM10),,51,,
64,包头,,0.8,,2,,,2017-08-17 11:00:00,39,70,32,78,33,良,青山宾馆,颗粒物(PM10),,40,,
57,包头,,0.8,,2,,,2017-08-17 11:00:00,31,72,46,63,18,良,惠龙物流,颗粒物(PM10),,20,,
72,包头,,0.6,,2,,,2017-08-17 11:00:00,19,95,54,93,22,良,东河鸿龙湾,颗粒物(PM10),,14,,
49,保山,,1.6,,1,,,2017-08-17 11:00:00,25,62,50,42,49,优,保山,,,19,,
54,保山,,1.6,,2,,,2017-08-17 11:00:00,_,53,50,42,38,良,市环保局,细颗粒物(PM2.5),,_,,
45,保山,,1.6,,2,,,2017-08-17 11:00:00,25,72,51,_,31,优,市环境监测站,_,,19,,
78,宝鸡,,1.02,,1,,,2017-08-17 11:00:00,33,96,57,96,78,良,宝鸡,颗粒物(PM2.5),,8,,
60,宝鸡,,0.8,,2,,,2017-08-17 11:00:00,20,109,100,70,42,良,庙沟村,颗粒物(PM10),,7,,
77,宝鸡,,0.9,,2,,,2017-08-17 11:00:00,18,80,41,103,45,良,竹园沟,颗粒物(PM10),,4,,
74,宝鸡,,1.2,,2,,,2017-08-17 11:00:00,46,78,44,78,54,良,三陆医院,细颗粒物(PM2.5),,_,,
80,宝鸡,,1.1,,2,,,2017-08-17 11:00:00,40,87,50,100,59,良,监测站,细颗粒物(PM2.5),,8,,
80,宝鸡,,1.1,,2,,,2017-08-17 11:00:00,37,84,46,109,52,良,技工学校,颗粒物(PM10),,11,,
132,宝鸡,,1.2,,2,,,2017-08-17 11:00:00,27,121,83,127,100,轻度污染,陈仓环保局,细颗粒物(PM2.5),,_,,
76,宝鸡,,1.2,,2,,,2017-08-17 11:00:00,46,96,48,102,52,良,文理学院,颗粒物(PM10),,10,,
73,宝鸡,,0.7,,2,,,2017-08-17 11:00:00,34,120,48,81,53,良,三迪小学,细颗粒物(PM2.5),,12,,
60,保定,,1.33,,1,,,2017-08-17 11:00:00,15,119,74,49,60,良,保定,颗粒物(PM2.5),,14,,
60,保定,,3.1,,2,,,2017-08-17 11:00:00,17,123,78,46,43,良,游泳馆,细颗粒物(PM2.5),,14,,
54,保定,,1.1,,2,,,2017-08-17 11:00:00,13,108,66,58,33,良,华电二区,颗粒物(PM10),,17,,
74,保定,,1.1,,2,,,2017-08-17 11:00:00,18,_,63,_,54,良,接待中心,细颗粒物(PM2.5),,15,,
67,保定,,0.9,,2,,,2017-08-17 11:00:00,18,124,82,56,48,良,地表水厂,细颗粒物(PM2.5),,10,,
57,保定,,0.7,,2,,,2017-08-17 11:00:00,18,126,84,40,40,良,胶片厂,细颗粒物(PM2.5),,_,,
55,保定,,1.1,,2,,,2017-08-17 11:00:00,10,115,71,48,39,良,监测站,细颗粒物(PM2.5),,17,,
62,白银,,0.75,,1,,,2017-08-17 11:00:00,17,80,72,72,62,良,白银,颗粒物(PM10),,74,,
65,白银,,0.8,,2,,,2017-08-17 11:00:00,19,82,74,79,17,良,豫源饭店,颗粒物(PM10),,114,,
58,白银,,0.7,,2,,,2017-08-17 11:00:00,16,79,70,66,19,良,动力公司,颗粒物(PM10),,35,,
44,白山,,0.9,,1,,,2017-08-17 11:00:00,14,30,10,43,44,优,白山,,,6,,
53,白山,,0.7,,2,,,2017-08-17 11:00:00,7,32,10,56,20,良,喜丰,颗粒物(PM10),,5,,
31,白山,,1.1,,2,,,2017-08-17 11:00:00,21,29,10,31,9,优,环保局,_,,8,,
52,百色,,1.05,,1,,,2017-08-17 11:00:00,19,26,21,52,52,良,百色,颗粒物(PM10),,15,,
51,百色,,1.2,,2,,,2017-08-17 11:00:00,25,27,22,51,29,良,市监测站,颗粒物(PM10),,13,,
52,百色,,0.9,,2,,,2017-08-17 11:00:00,14,26,20,53,26,良,市中心血站,颗粒物(PM10),,18,,
40,白城,,0.35,,1,,,2017-08-17 11:00:00,11,63,42,39,40,优,白城,,,8,,
42,白城,,0.5,,2,,,2017-08-17 11:00:00,16,54,35,42,23,优,洮北区环保局,_,,7,,
37,白城,,0.2,,2,,,2017-08-17 11:00:00,7,72,49,37,11,优,市环保局,_,,9,,
43,安阳,,1.2,,1,,,2017-08-17 11:00:00,23,94,61,42,43,优,安阳,,,10,,
33,安阳,,0.8,,2,,,2017-08-17 11:00:00,12,103,58,32,18,优,棉研所,_,,7,,
50,安阳,,1.7,,2,,,2017-08-17 11:00:00,23,91,65,37,35,优,红庙街,_,,12,,
42,安阳,,0.9,,2,,,2017-08-17 11:00:00,19,95,57,38,29,优,银杏小区,_,,7,,
40,安阳,,1.2,,2,,,2017-08-17 11:00:00,30,92,62,40,20,优,环保局,_,,9,,
57,安阳,,1.4,,2,,,2017-08-17 11:00:00,35,89,64,63,24,良,铁佛寺,颗粒物(PM10),,17,,
20,安顺,,0.48,,1,,,2017-08-17 11:00:00,6,44,38,8,20,优,安顺,,,3,,
15,安顺,,0.3,,2,,,2017-08-17 11:00:00,4,47,39,8,4,优,虹机厂子校,_,,4,,
14,安顺,,0.6,,2,,,2017-08-17 11:00:00,9,43,37,10,5,优,市一中,_,,4,,
14,安顺,,0.5,,2,,,2017-08-17 11:00:00,7,43,37,9,4,优,铁路子校,_,,_,,
15,安顺,,0.5,,2,,,2017-08-17 11:00:00,_,45,39,8,5,优,龙岩子校,_,,3,,
28,鞍山,,1.53,,1,,,2017-08-17 11:00:00,26,69,51,27,28,优,鞍山,,,7,,
35,鞍山,,1.3,,2,,,2017-08-17 11:00:00,23,71,48,27,24,优,深沟寺,_,,9,,
22,鞍山,,1.6,,2,,,2017-08-17 11:00:00,18,65,48,22,15,优,明达新区,_,,7,,
_,鞍山,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,千山,_,,_,,
29,鞍山,,1.5,,2,,,2017-08-17 11:00:00,29,68,55,29,14,优,太阳城,_,,10,,
48,鞍山,,2.2,,2,,,2017-08-17 11:00:00,44,61,48,48,27,优,太平,_,,5,,
25,鞍山,,1.4,,2,,,2017-08-17 11:00:00,33,70,55,25,13,优,铁西三道街,_,,6,,
26,鞍山,,1.2,,2,,,2017-08-17 11:00:00,13,82,57,15,11,优,铁西工业园区,_,,5,,
44,安庆,,0.57,,1,,,2017-08-17 11:00:00,21,56,37,43,44,优,安庆,,,18,,
41,安庆,,0.2,,2,,,2017-08-17 11:00:00,29,38,29,41,13,优,环科院,_,,9,,
36,安庆,,0.7,,2,,,2017-08-17 11:00:00,19,50,36,35,25,优,马山宾馆,_,,5,,
56,安庆,,0.9,,2,,,2017-08-17 11:00:00,24,59,34,62,29,良,联富花园,颗粒物(PM10),,48,,
37,安庆,,0.5,,2,,,2017-08-17 11:00:00,12,79,50,37,15,优,安庆大学,_,,12,,
36,遵义,,0.4,,1,,,2017-08-17 11:00:00,15,35,25,35,36,优,遵义,,,5,,
41,遵义,,0.6,,2,,,2017-08-17 11:00:00,22,40,30,41,18,优,丁字口,_,,6,,
36,遵义,,0.4,,2,,,2017-08-17 11:00:00,11,39,29,_,25,优,凤凰山,_,,3,,
44,遵义,,0.4,,2,,,2017-08-17 11:00:00,15,29,17,44,12,优,忠庄,_,,7,,
_,遵义,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,舟水桥,_,,_,,
22,遵义,,0.2,,2,,,2017-08-17 11:00:00,12,34,26,22,12,优,干田坝,_,,7,,
52,资阳,,0.5,,1,,,2017-08-17 11:00:00,15,117,44,52,52,良,资阳,颗粒物(PM10),,6,,
34,资阳,,0.5,,2,,,2017-08-17 11:00:00,7,102,41,34,6,优,莲花山,_,,5,,
57,资阳,,0.6,,2,,,2017-08-17 11:00:00,23,121,41,64,16,良,资阳中学,颗粒物(PM10),,12,,
48,资阳,,0.6,,2,,,2017-08-17 11:00:00,18,110,39,48,14,优,四三一厂,_,,3,,
66,资阳,,0.4,,2,,,2017-08-17 11:00:00,12,133,47,81,24,良,师范校,颗粒物(PM10),,6,,
39,资阳,,0.4,,2,,,2017-08-17 11:00:00,18,122,52,36,19,优,区法院,_,,8,,
63,自贡,,0.68,,1,,,2017-08-17 11:00:00,29,101,34,51,63,良,自贡,颗粒物(PM2.5),,5,,
75,自贡,,0.9,,2,,,2017-08-17 11:00:00,36,142,34,_,55,良,大塘山,细颗粒物(PM2.5),,7,,
_,自贡,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,盐马路,_,,_,,
_,自贡,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,檀木林街,_,,_,,
57,自贡,,0.6,,2,,,2017-08-17 11:00:00,35,108,36,46,40,良,春华路,细颗粒物(PM2.5),,5,,
70,自贡,,0.5,,2,,,2017-08-17 11:00:00,36,68,37,57,51,良,青杠林路,细颗粒物(PM2.5),,6,,
51,自贡,,0.7,,2,,,2017-08-17 11:00:00,10,86,30,52,32,良,檀木林体育馆,颗粒物(PM10),,5,,
64,淄博,,1.93,,1,,,2017-08-17 11:00:00,25,121,77,61,64,良,淄博,颗粒物(PM2.5),,32,,
48,淄博,,1.8,,2,,,2017-08-17 11:00:00,27,_,70,33,33,优,人民公园,_,,34,,
58,淄博,,1.9,,2,,,2017-08-17 11:00:00,20,114,75,66,33,良,东风化工厂,颗粒物(PM10),,42,,
73,淄博,,2.0,,2,,,2017-08-17 11:00:00,37,72,77,96,53,良,双山,颗粒物(PM10)细颗粒物(PM2.5),,26,,
104,淄博,,2.2,,2,,,2017-08-17 11:00:00,27,130,80,_,78,轻度污染,气象站,细颗粒物(PM2.5),,15,,
64,淄博,,1.6,,2,,,2017-08-17 11:00:00,19,136,78,70,46,良,莆田园,细颗粒物(PM2.5),,31,,
49,淄博,,2.1,,2,,,2017-08-17 11:00:00,22,156,85,42,27,优,三金集团,_,,46,,
47,株洲,,0.79,,1,,,2017-08-17 11:00:00,14,75,21,46,47,优,株洲,,,16,,
50,株洲,,0.6,,2,,,2017-08-17 11:00:00,14,81,24,50,28,优,天台山庄,_,,16,,
59,株洲,,0.7,,2,,,2017-08-17 11:00:00,17,84,21,67,32,良,株冶医院,颗粒物(PM10),,25,,
49,株洲,,0.8,,2,,,2017-08-17 11:00:00,14,64,16,49,19,优,市四中,_,,16,,
42,株洲,,1.0,,2,,,2017-08-17 11:00:00,22,85,24,42,23,优,火车站,_,,18,,
45,株洲,,0.9,,2,,,2017-08-17 11:00:00,11,95,24,45,27,优,市监测站,_,,19,,
39,株洲,,0.8,,2,,,2017-08-17 11:00:00,9,77,23,39,17,优,大京风景区,_,,13,,
34,株洲,,0.7,,2,,,2017-08-17 11:00:00,14,40,15,34,9,优,云田中学,_,,10,,
59,驻马店,,1.03,,1,,,2017-08-17 11:00:00,8,114,67,66,59,良,驻马店,颗粒物(PM10),,6,,
57,驻马店,,0.8,,2,,,2017-08-17 11:00:00,9,110,60,63,20,良,市一纸厂　,颗粒物(PM10),,7,,
61,驻马店,,1.2,,2,,,2017-08-17 11:00:00,9,122,71,71,36,良,市彩印厂　,颗粒物(PM10),,6,,
57,驻马店,,1.1,,2,,,2017-08-17 11:00:00,7,111,72,64,26,良,天方二分厂　,颗粒物(PM10),,5,,
0,诸暨,,0.0,,1,,,2017-08-17 11:00:00,0,0,0,0,0,优,诸暨,->,,0,,
_,诸暨,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,图书馆,_,,_,,
_,诸暨,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,富林印务,_,,_,,
20,珠海,,0.48,,1,,,2017-08-17 11:00:00,15,35,27,19,20,优,珠海,,,4,,
19,珠海,,0.3,,2,,,2017-08-17 11:00:00,15,30,24,17,13,优,吉大,_,,7,,
20,珠海,,0.4,,2,,,2017-08-17 11:00:00,11,38,28,20,10,优,前山,_,,2,,
20,珠海,,0.5,,2,,,2017-08-17 11:00:00,18,39,35,19,14,优,唐家,_,,3,,
22,珠海,,0.7,,2,,,2017-08-17 11:00:00,16,35,21,21,15,优,斗门,_,,6,,
37,舟山,,0.63,,1,,,2017-08-17 11:00:00,26,115,64,36,37,优,舟山,,,13,,
42,舟山,,0.8,,2,,,2017-08-17 11:00:00,36,122,45,42,22,优,定海檀枫,_,,14,,
58,舟山,,0.7,,2,,,2017-08-17 11:00:00,14,118,104,_,41,良,普陀东港,细颗粒物(PM2.5),,8,,
33,舟山,,0.4,,2,,,2017-08-17 11:00:00,30,105,43,31,13,优,临城新区,_,,17,,
63,周口,,1.0,,1,,,2017-08-17 11:00:00,20,138,79,73,63,良,周口,颗粒物(PM10),,10,,
64,周口,,1.0,,2,,,2017-08-17 11:00:00,23,133,79,_,46,良,市环境监测站,细颗粒物(PM2.5),,11,,
_,周口,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,周口师范,_,,_,,
66,周口,,1.0,,2,,,2017-08-17 11:00:00,23,142,75,82,39,良,市运管处,颗粒物(PM10),,9,,
59,周口,,1.0,,2,,,2017-08-17 11:00:00,15,140,84,65,42,良,川汇区环保局,细颗粒物(PM2.5),,10,,
54,中卫,,0.7,,1,,,2017-08-17 11:00:00,14,108,73,56,54,良,中卫,颗粒物(PM10),,9,,
33,中卫,,0.6,,2,,,2017-08-17 11:00:00,10,104,64,27,16,优,沙坡头消防站,_,,8,,
58,中卫,,0.7,,2,,,2017-08-17 11:00:00,16,107,72,66,27,良,官桥站,颗粒物(PM10),,11,,
63,中卫,,0.8,,2,,,2017-08-17 11:00:00,17,115,84,76,26,良,环保局站,颗粒物(PM10),,10,,
34,中山,,0.83,,1,,,2017-08-17 11:00:00,19,64,25,33,34,优,中山,,,9,,
40,中山,,1.1,,2,,,2017-08-17 11:00:00,32,67,26,40,28,优,华柏园,_,,13,,
51,中山,,0.9,,2,,,2017-08-17 11:00:00,24,69,29,51,24,良,张溪,颗粒物(PM10),,8,,
22,中山,,0.7,,2,,,2017-08-17 11:00:00,11,67,27,22,14,优,紫马岭,_,,10,,
22,中山,,0.6,,2,,,2017-08-17 11:00:00,9,56,20,20,15,优,长江旅游区,_,,7,,
47,镇江,,0.93,,1,,,2017-08-17 11:00:00,20,105,59,46,47,优,镇江,,,19,,
_,镇江,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,—,环境监测站,—,,_,,
52,镇江,,_,,2,,,2017-08-17 11:00:00,10,109,52,54,30,良,新区办事处,颗粒物(PM10),,23,,
54,镇江,,1.0,,2,,,2017-08-17 11:00:00,23,120,70,58,14,良,职教中心,颗粒物(PM10),,21,,
36,镇江,,0.9,,2,,,2017-08-17 11:00:00,24,74,40,36,20,优,丹徒区监测站,_,,13,,
39,镇江,,0.9,,2,,,2017-08-17 11:00:00,25,119,74,39,10,优,市疾控中心,_,,20,,
76,郑州,,1.01,,1,,,2017-08-17 11:00:00,38,127,54,100,76,良,郑州,颗粒物(PM10),,8,,
80,郑州,,0.8,,2,,,2017-08-17 11:00:00,35,137,54,110,41,良,烟厂,颗粒物(PM10),,4,,
64,郑州,,0.7,,2,,,2017-08-17 11:00:00,_,144,62,78,37,良,郑纺机,颗粒物(PM10),,_,,
79,郑州,,1.1,,2,,,2017-08-17 11:00:00,33,108,52,107,46,良,银行学校,颗粒物(PM10),,8,,
90,郑州,,1.1,,2,,,2017-08-17 11:00:00,56,108,62,129,48,良,供水公司,颗粒物(PM10),,7,,
69,郑州,,0.8,,2,,,2017-08-17 11:00:00,27,133,62,87,41,良,经开区管委,颗粒物(PM10),,7,,
85,郑州,,1.0,,2,,,2017-08-17 11:00:00,36,144,57,120,36,良,四十七中,颗粒物(PM10),,7,,
72,郑州,,1.2,,2,,,2017-08-17 11:00:00,36,126,56,93,37,良,市监测站,颗粒物(PM10),,12,,
58,郑州,,0.7,,2,,,2017-08-17 11:00:00,38,132,55,65,39,良,河医大,颗粒物(PM10),,7,,
84,郑州,,1.7,,2,,,2017-08-17 11:00:00,44,117,34,118,55,良,岗李水库,颗粒物(PM10),,13,,
42,招远,,0.75,,1,,,2017-08-17 11:00:00,10,107,82,28,42,优,招远,,,5,,
33,招远,,1.0,,2,,,2017-08-17 11:00:00,12,104,80,28,9,优,招远环保局,_,,7,,
35,招远,,0.5,,2,,,2017-08-17 11:00:00,9,111,85,29,7,优,招远教育局,_,,4,,
40,昭通,,0.45,,1,,,2017-08-17 11:00:00,9,92,56,39,40,优,昭通,,,20,,
45,昭通,,0.3,,2,,,2017-08-17 11:00:00,8,92,65,45,27,优,监测站,_,,18,,
33,昭通,,0.6,,2,,,2017-08-17 11:00:00,11,92,47,33,21,优,环保局,_,,23,,
40,肇庆,,0.6,,1,,,2017-08-17 11:00:00,15,59,20,39,40,优,肇庆,,,15,,
38,肇庆,,0.6,,2,,,2017-08-17 11:00:00,11,66,22,_,26,优,睦岗子站,_,,14,,
38,肇庆,,0.8,,2,,,2017-08-17 11:00:00,20,59,23,38,23,优,城中子站,_,,20,,
43,肇庆,,0.6,,2,,,2017-08-17 11:00:00,17,57,19,43,22,优,坑口子站,_,,12,,
36,肇庆,,0.4,,2,,,2017-08-17 11:00:00,14,56,16,36,17,优,七星岩子站,_,,_,,
16,湛江,,0.58,,1,,,2017-08-17 11:00:00,6,41,29,15,16,优,湛江,,,6,,
17,湛江,,0.6,,2,,,2017-08-17 11:00:00,7,42,31,17,10,优,湛江影剧院,_,,5,,
16,湛江,,0.4,,2,,,2017-08-17 11:00:00,3,41,31,13,11,优,市环境监测站,_,,3,,
17,湛江,,0.7,,2,,,2017-08-17 11:00:00,5,40,27,17,7,优,环保局宿舍,_,,5,,
18,湛江,,0.4,,2,,,2017-08-17 11:00:00,6,44,36,18,9,优,霞山游泳场,_,,7,,
15,湛江,,0.8,,2,,,2017-08-17 11:00:00,12,_,23,_,10,优,麻章区环保局,_,,9,,
13,湛江,,0.6,,2,,,2017-08-17 11:00:00,4,39,29,10,8,优,坡头区环保局,_,,7,,
75,漳州,,0.7,,1,,,2017-08-17 11:00:00,33,117,51,90,75,良,漳州,颗粒物(PM2.5),,14,,
_,漳州,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,蓝田,_,,_,,
77,漳州,,0.9,,2,,,2017-08-17 11:00:00,37,104,33,104,44,良,漳州三中,颗粒物(PM10),,15,,
88,漳州,,0.6,,2,,,2017-08-17 11:00:00,34,118,64,73,65,良,九湖,细颗粒物(PM2.5),,18,,
74,漳州,,0.6,,2,,,2017-08-17 11:00:00,30,131,57,93,54,良,蓝田镇,细颗粒物(PM2.5),,11,,
68,张掖,,0.55,,1,,,2017-08-17 11:00:00,26,67,54,84,68,良,张掖,颗粒物(PM10),,9,,
58,张掖,,0.5,,2,,,2017-08-17 11:00:00,25,72,51,66,9,良,监测站,颗粒物(PM10),,6,,
77,张掖,,0.6,,2,,,2017-08-17 11:00:00,27,63,58,103,27,良,科委,颗粒物(PM10),,13,,
55,章丘,,0.9,,1,,,2017-08-17 11:00:00,22,101,71,58,55,良,章丘,颗粒物(PM10),,11,,
55,章丘,,0.8,,2,,,2017-08-17 11:00:00,21,105,74,59,28,良,环境监测站,颗粒物(PM10),,10,,
54,章丘,,1.0,,2,,,2017-08-17 11:00:00,24,97,68,58,31,良,明水开发区,颗粒物(PM10),,13,,
42,张家口,,0.4,,1,,,2017-08-17 11:00:00,15,129,82,38,42,优,张家口,,,13,,
40,张家口,,0.3,,2,,,2017-08-17 11:00:00,24,126,83,34,9,优,人民公园,_,,12,,
41,张家口,,0.2,,2,,,2017-08-17 11:00:00,12,129,71,_,14,优,探机厂,_,,23,,
42,张家口,,_,,2,,,2017-08-17 11:00:00,12,133,133,32,_,优,五金库,_,,_,,
36,张家口,,0.4,,2,,,2017-08-17 11:00:00,10,114,62,_,22,优,世纪豪园,_,,6,,
50,张家口,,0.7,,2,,,2017-08-17 11:00:00,19,146,65,50,12,优,北泵房,_,,12,,
27,张家界,,0.98,,1,,,2017-08-17 11:00:00,8,56,35,26,27,优,张家界,,,8,,
38,张家界,,0.9,,2,,,2017-08-17 11:00:00,10,58,21,38,14,优,永定新区,_,,10,,
15,张家界,,1.3,,2,,,2017-08-17 11:00:00,8,47,47,_,4,优,电业局,_,,9,,
35,张家界,,0.9,,2,,,2017-08-17 11:00:00,9,73,34,_,24,优,未央路,_,,8,,
15,张家界,,0.8,,2,,,2017-08-17 11:00:00,5,48,41,15,8,优,袁家界,_,,7,,
116,张家港,,0.7,,1,,,2017-08-17 11:00:00,26,229,108,82,116,轻度污染,张家港,臭氧1小时,,22,,
98,张家港,,0.7,,2,,,2017-08-17 11:00:00,26,198,76,65,38,良,张家港市监测站,臭氧1小时,,_,,
130,张家港,,0.7,,2,,,2017-08-17 11:00:00,26,260,141,100,51,轻度污染,城北小学,臭氧1小时,,22,,
70,枣庄,,0.52,,1,,,2017-08-17 11:00:00,8,132,71,87,70,良,枣庄,颗粒物(PM10),,21,,
70,枣庄,,0.5,,2,,,2017-08-17 11:00:00,11,122,50,89,42,良,市中区政府,颗粒物(PM10),,21,,
77,枣庄,,0.4,,2,,,2017-08-17 11:00:00,6,181,90,67,24,良,薛城环保局,臭氧1小时,,19,,
72,枣庄,,0.9,,2,,,2017-08-17 11:00:00,18,102,72,94,36,良,峄城区政府,颗粒物(PM10),,15,,
83,枣庄,,0.4,,2,,,2017-08-17 11:00:00,1,103,74,115,32,良,台儿庄区环保局,颗粒物(PM10),,20,,
61,枣庄,,0.4,,2,,,2017-08-17 11:00:00,8,152,73,72,27,良,山亭区环保局,颗粒物(PM10),,30,,
51,玉溪,,0.77,,1,,,2017-08-17 11:00:00,21,31,27,50,51,良,玉溪,颗粒物(PM10),,13,,
47,玉溪,,0.6,,2,,,2017-08-17 11:00:00,21,28,26,47,12,优,东风水库,_,,8,,
_,玉溪,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,市监测站,_,,_,,
_,玉溪,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,大营街镇,_,,_,,
45,玉溪,,0.9,,2,,,2017-08-17 11:00:00,20,36,28,45,14,优,玉溪一中,_,,13,,
55,玉溪,,0.8,,2,,,2017-08-17 11:00:00,22,30,27,59,12,良,文体中心,颗粒物(PM10),,18,,
43,玉树州,,0.5,,1,,,2017-08-17 11:00:00,7,89,84,20,43,优,玉树州,,,4,,
28,玉树州,,0.5,,2,,,2017-08-17 11:00:00,7,89,84,20,7,优,玉树县结古镇,_,,4,,
39,云浮,,0.5,,1,,,2017-08-17 11:00:00,8,52,17,38,39,优,云浮,,,6,,
49,云浮,,0.5,,2,,,2017-08-17 11:00:00,5,_,20,49,19,优,新市府,_,,6,,
26,云浮,,0.5,,2,,,2017-08-17 11:00:00,10,51,18,_,18,优,市监测站,_,,5,,
27,云浮,,0.5,,2,,,2017-08-17 11:00:00,9,53,13,27,15,优,牧羊,_,,9,,
71,运城,,0.94,,1,,,2017-08-17 11:00:00,5,158,124,70,71,良,运城,臭氧8小时,,17,,
54,运城,,0.6,,2,,,2017-08-17 11:00:00,4,162,135,57,36,良,运城中学,颗粒物(PM10),,15,,
63,运城,,1.0,,2,,,2017-08-17 11:00:00,8,155,125,75,33,良,禹都开发区,颗粒物(PM10),,12,,
_,运城,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,—,运城学院,—,,_,,
65,运城,,0.9,,2,,,2017-08-17 11:00:00,10,159,109,80,32,良,地区技校,颗粒物(PM10),,16,,
64,运城,,1.1,,2,,,2017-08-17 11:00:00,3,154,117,78,41,良,空港新区,颗粒物(PM10),,21,,
59,运城,,1.1,,2,,,2017-08-17 11:00:00,1,163,136,60,42,良,外滩首府,细颗粒物(PM2.5),,22,,
67,榆林,,1.25,,1,,,2017-08-17 11:00:00,22,128,53,81,67,良,榆林,颗粒物(PM10),,8,,
74,榆林,,1.0,,2,,,2017-08-17 11:00:00,19,136,41,78,54,良,红石峡森林公园　,细颗粒物(PM2.5),,11,,
71,榆林,,1.3,,2,,,2017-08-17 11:00:00,22,129,50,91,24,良,世纪广场　,颗粒物(PM10),,10,,
